method,rouge_l,bert_score,language_bias,domain_bias,is_lowcred,url_recall,num_urls,note_length,num_of_notes
human,1.0,1.0,0.234,-0.148,0.04,1.0,1.668,172.186,488
supernote_lite_Llama-3.1-8B-Instruct,0.193,0.864,0.164,-0.171,0.065,0.12,1.808,225.125,265
supernote_lite_Ministral-8B-Instruct-2410,0.208,0.861,0.226,-0.154,0.046,0.125,1.8,153.921,265
supernote_lite_Qwen3-14B,0.202,0.868,0.225,-0.135,0.044,0.122,1.525,147.208,265
supernote_lite_Apriel-Nemotron-15b-Thinker,0.192,0.862,0.208,-0.121,0.046,0.107,1.664,226.857,265
supernote_lite_gpt-5-nano,0.17,0.856,0.221,-0.115,0.041,0.129,1.823,212.219,265
supernote_lite_gemini-2.5-flash,0.224,0.871,0.194,-0.15,0.038,0.125,1.332,161.121,265
web_search_gpt-5-nano_T1,0.147,0.849,0.182,-0.223,0.066,0.04,2.92,241.572,488
web_search_gpt-5-nano_T2,0.145,0.849,0.183,-0.218,0.073,0.039,2.846,241.656,488
web_search_gemini-2.5-flash_T1,0.171,0.857,0.11,-0.182,0.067,0.043,3.213,254.701,488
web_search_gemini-2.5-flash_T2,0.169,0.858,0.11,-0.167,0.057,0.061,3.884,248.274,482
web_search_grok-4_T1,0.167,0.857,0.177,-0.131,0.081,0.114,22.117,289.246,488
web_search_sonar-deep-research_T1,0.163,0.858,0.219,-0.129,0.055,0.115,18.84,287.084,488
our_gpt-5-nano_T2,0.145,0.848,0.273,-0.202,0.069,0.043,3.26,245.045,488
our_gemini-2.5-flash_T2,0.178,0.861,0.174,-0.145,0.065,0.047,2.238,210.353,484
