method,functional_errors,claim_alignment,fact_alignment,completeness,helpfulness
supernote_lite_Llama-3.1-8B-Instruct,4.087,3.585,2.479,2.464,2.796
supernote_lite_Ministral-8B-Instruct-2410,4.083,3.589,2.487,2.355,2.672
supernote_lite_Qwen3-14B,3.974,3.728,2.615,2.487,2.838
supernote_lite_Apriel-Nemotron-15b-Thinker,3.879,3.709,2.54,2.528,2.811
supernote_lite_gpt-5-nano,4.053,3.668,2.634,2.506,2.86
supernote_lite_gemini-2.5-flash,4.358,3.898,2.906,2.687,3.128
web_search_gpt-5-nano_T1,4.516,3.383,2.488,2.459,2.961
web_search_gpt-5-nano_T2,4.496,3.34,2.465,2.426,2.984
web_search_gemini-2.5-flash_T1,4.242,3.334,2.465,2.418,2.809
web_search_gemini-2.5-flash_T2,4.127,3.315,2.465,2.388,2.772
web_search_grok-4_T1,1.568,3.213,2.342,2.236,1.795
web_search_sonar-deep-research_T1,1.816,3.318,2.393,2.416,1.994
our_gpt-5-nano_T2,4.266,3.668,2.656,2.734,3.141
our_gemini-2.5-flash_T2,4.477,3.744,2.682,2.744,3.114
